data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,codice_comune,denominazione_comune,abitanti,nuovi_casi,totale_casi
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014050,Piuro,1950,0,1
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014051,Poggiridenti,1865,0,1
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014052,Ponte in Valtellina,2304,0,2
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014053,Postalesio,659,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014054,Prata Camportaccio,2921,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014055,Rasura,292,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014056,Rogolo,564,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014057,Samolaco,2884,1,2
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014058,San Giacomo Filippo,395,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014059,Sernio,500,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014060,Sondalo,4237,2,4
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014061,Sondrio,21642,3,15
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014062,Spriana,101,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014063,Talamona,4768,0,4
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014064,Tartano,190,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014065,Teglio,4654,3,6
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014066,Tirano,9073,3,14
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014067,Torre di Santa Maria,824,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014068,Tovo di Sant'Agata,624,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014069,Traona,2536,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014070,Tresivio,2002,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014071,Valdidentro,4045,1,6
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014072,Valdisotto,3533,0,1
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014073,Valfurva,2703,1,9
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014074,Val Masino,939,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014075,Verceia,1093,0,3
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014076,Vervio,209,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014077,Villa di Chiavenna,1030,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014078,Villa di Tirano,2957,2,6
2020-03-19T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014001,Albaredo per San Marco,349,0,0
